d,a,e
5.059999999999998721e+00,1.150000000000000000e+02,-4.371685580432411200e+01
5.059999999999998721e+00,1.200000000000000000e+02,-4.371681029817573716e+01
5.059999999999998721e+00,1.250000000000000000e+02,-4.371669465551396883e+01
5.069999999999998508e+00,0.000000000000000000e+00,-4.371687666271062511e+01
5.069999999999998508e+00,5.000000000000000000e+00,-4.371687666172996245e+01
5.069999999999998508e+00,1.000000000000000000e+01,-4.371687666126629068e+01
5.069999999999998508e+00,1.500000000000000000e+01,-4.371687666136100603e+01
5.069999999999998508e+00,2.000000000000000000e+01,-4.371687666322917920e+01
5.069999999999998508e+00,2.500000000000000000e+01,-4.371687666836893982e+01
5.069999999999998508e+00,3.000000000000000000e+01,-4.371687667836508950e+01
5.069999999999998508e+00,3.500000000000000000e+01,-4.371687669459429060e+01
5.069999999999998508e+00,4.000000000000000000e+01,-4.371687671793823426e+01
5.069999999999998508e+00,4.500000000000000000e+01,-4.371687674858088712e+01
5.069999999999998508e+00,5.000000000000000000e+01,-4.371687678621074724e+01
5.069999999999998508e+00,5.500000000000000000e+01,-4.371687683106314637e+01
5.069999999999998508e+00,6.000000000000000000e+01,-4.371687688661548066e+01
5.069999999999998508e+00,6.500000000000000000e+01,-4.371687696482675278e+01
5.069999999999998508e+00,7.000000000000000000e+01,-4.371687709452213255e+01
5.069999999999998508e+00,7.500000000000000000e+01,-4.371687733154247724e+01
5.069999999999998508e+00,8.000000000000000000e+01,-4.371687776455936358e+01
5.069999999999998508e+00,8.500000000000000000e+01,-4.371687850139877440e+01
5.069999999999998508e+00,9.000000000000000000e+01,-4.371687961028200675e+01
5.069999999999998508e+00,9.500000000000000000e+01,-4.371688098565826408e+01
5.069999999999998508e+00,1.000000000000000000e+02,-4.371688211337095709e+01
5.069999999999998508e+00,1.050000000000000000e+02,-4.371688167839467098e+01
5.069999999999998508e+00,1.100000000000000000e+02,-4.371687672400510394e+01
5.069999999999998508e+00,1.150000000000000000e+02,-4.371686037167057748e+01
5.069999999999998508e+00,1.200000000000000000e+02,-4.371681577586593903e+01
5.069999999999998508e+00,1.250000000000000000e+02,-4.371670218393767016e+01
5.079999999999998295e+00,0.000000000000000000e+00,-4.371688060330127712e+01
5.079999999999998295e+00,5.000000000000000000e+00,-4.371688060231847572e+01
5.079999999999998295e+00,1.000000000000000000e+01,-4.371688060179830870e+01
5.079999999999998295e+00,1.500000000000000000e+01,-4.371688060179126012e+01
5.079999999999998295e+00,2.000000000000000000e+01,-4.371688060350606975e+01
5.079999999999998295e+00,2.500000000000000000e+01,-4.371688060843058565e+01
5.079999999999998295e+00,3.000000000000000000e+01,-4.371688061814004556e+01
5.079999999999998295e+00,3.500000000000000000e+01,-4.371688063400820567e+01
5.079999999999998295e+00,4.000000000000000000e+01,-4.371688065691812142e+01
5.079999999999998295e+00,4.500000000000000000e+01,-4.371688068705155672e+01
5.079999999999998295e+00,5.000000000000000000e+01,-4.371688072405255809e+01
5.079999999999998295e+00,5.500000000000000000e+01,-4.371688076803524581e+01
5.079999999999998295e+00,6.000000000000000000e+01,-4.371688082218975779e+01
5.079999999999998295e+00,6.500000000000000000e+01,-4.371688089790726650e+01
5.079999999999998295e+00,7.000000000000000000e+01,-4.371688102309869350e+01
5.079999999999998295e+00,7.500000000000000000e+01,-4.371688125243033340e+01
5.079999999999998295e+00,8.000000000000000000e+01,-4.371688167360377975e+01
5.079999999999998295e+00,8.500000000000000000e+01,-4.371688239481127880e+01
5.079999999999998295e+00,9.000000000000000000e+01,-4.371688348766165433e+01
5.079999999999998295e+00,9.500000000000000000e+01,-4.371688485470322405e+01
5.079999999999998295e+00,1.000000000000000000e+02,-4.371688599575675482e+01
5.079999999999998295e+00,1.050000000000000000e+02,-4.371688561921601490e+01
5.079999999999998295e+00,1.100000000000000000e+02,-4.371688081826604133e+01
5.079999999999998295e+00,1.150000000000000000e+02,-4.371686484017402563e+01
5.079999999999998295e+00,1.200000000000000000e+02,-4.371682113831015926e+01
5.079999999999998295e+00,1.250000000000000000e+02,-4.371670956520755169e+01
5.089999999999998082e+00,0.000000000000000000e+00,-4.371688445624820929e+01
5.089999999999998082e+00,5.000000000000000000e+00,-4.371688445526353917e+01
5.089999999999998082e+00,1.000000000000000000e+01,-4.371688445468822692e+01
5.089999999999998082e+00,1.500000000000000000e+01,-4.371688445458862304e+01
5.089999999999998082e+00,2.000000000000000000e+01,-4.371688445615404817e+01
5.089999999999998082e+00,2.500000000000000000e+01,-4.371688446087088664e+01
5.089999999999998082e+00,3.000000000000000000e+01,-4.371688447030605573e+01
5.089999999999998082e+00,3.500000000000000000e+01,-4.371688448582693098e+01
5.089999999999998082e+00,4.000000000000000000e+01,-4.371688450831575068e+01
5.089999999999998082e+00,4.500000000000000000e+01,-4.371688453795458429e+01
5.089999999999998082e+00,5.000000000000000000e+01,-4.371688457435014641e+01
5.089999999999998082e+00,5.500000000000000000e+01,-4.371688461750273547e+01
